Carrier Name,Passengers,Seats,Distance (miles),Air Time (hours),Payload (tons),Freight (tons),Mail (tons)
Miami Air International,114857,316143,1033824,3147.733333,39567.9775,0,0
American Eagle Airlines Inc.,3541871,4665249,1142761,115344.9333,574440.05,154.033,1.4685
US Airways Inc.,38744145,46039564,7109293,630227.8333,6383480.3,19600.337,33056.919
Virgin America,4773283,6016989,1327699,136429.3167,799293.027,0,0
Ward Air,20,400,1366,28.6,41.6,0.399,0.6805
Republic Airlines,9550934,12061388,3659963,203503.1167,1633627.495,0,0
Great Lakes Airlines,171319,496183,193240,23306.18333,58097.093,0,0
Tradewind Aviation,11476,19514,236308,2172.55,5096.53,0,0
"Swift Air, LLC",47645,136806,508626,1657.716667,17372.549,0,0
Vision Airlines,172495,293605,253995,3875.05,35128.4065,0,0
Avjet Corporation,3821,13852,1035740,2681.766667,1627.632,0,0
"Dynamic Airways, LLC",220,9537,34434,125.9333333,3444.4805,32.1095,0
Rhoades Aviation dba Transair,0,0,14310,391.6,17402.7775,5217.898,719.464
Silver Airways,448927,1010944,183388,25493.85,112168.1925,0,0
Atlas Air Inc.,10389,44983,1070899,11746.95,514363.9285,195302.668,0
Air Transport International,0,468,216549,3875.033333,110254.326,33423.64,0
ABX Air Inc,0,0,455318,15930.5,432270.2075,171706.9525,0
Ameristar Air Cargo,12307,41107,499853,1541,11085.046,1244.6765,0
JetBlue Airways,19896030,23775740,4182883,437323.4333,3007047.4,9576.539,0
Delta Air Lines Inc.,80155233,93716454,20728109,1173724.267,12120102.22,104477.9855,58675.533
Allegiant Air,6211346,6931241,5054905,87406.4,1045867.4,0,0
GoJet Airlines LLC d/b/a United Express,3023191,3887312,1395717,81289.38333,491706.42,0,0
Hawaiian Airlines Inc.,6845203,8403338,1006669,74491.88333,1134256.704,42436.782,36.5365
Aloha Air Cargo,0,0,37708,3820.85,97730.5,29872.858,10235.368
North American Airlines,2373,8079,49019,115,818.8,0,0
AeroLogic GmbH,0,0,15696,0,8699.625,2226.347,0
Avia Leasing Company,0,0,1768,0,22,8.8,0
Southern Air Inc.,0,0,93965,1546.033333,30185.624,24844.083,0
Frontier Airlines Inc.,8313914,9245692,1985495,120242.7,1763399.36,0,0
Federal Express Corporation,0,0,8367768,297224.9333,7678355.411,4191737.699,2056.825
Kalitta Air LLC,0,0,261066,2641.583333,73642,48537.9725,51.684
Lynden Air Cargo Airlines,0,0,148927,1473.8,24924.429,5295.3925,5670.6965
Spirit Air Lines,9483710,10897459,2433460,146332.3333,1089746.202,4.0975,0
Asia Pacific,0,0,47040,384.2333333,1860,762.937,8.835
Polar Air Cargo Airways,0,0,220741,5712.05,146259.525,114378.1735,0
Chautauqua Airlines Inc.,2558571,3316158,928233,71408.1,390445.714,0,0
Shuttle America Corp.,4167483,5570153,2642906,121987.75,771984.6175,0,0
USA Jet Airlines Inc.,0,0,866509,3262.783333,26075.721,3787.641,0
United Air Lines Inc.,49143146,57239560,23390316,1047336.4,7155184.174,62832.3945,82213.0865
Centurion Cargo Inc.,0,0,19307,70.7,2856,823.2265,0
Southwest Airlines Co.,99449650,125461803,20105933,1461246.567,15061693.89,112716.4655,0
World Airways Inc.,2859,8165,20631,56.95,1568.478,0,0
Omni Air Express,68303,93651,148979,1979,33923.361,414.8485,0.2655
"Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",195663,215606,23336,11228.8,27941.45,0,0
Albinati Aeronautics SA,50,121,15609,0,20.8545,0,0
"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",47905,130200,282777,1555.95,14700,0,0
Etihad Airways,0,0,1434,0,0,0,0
Saudi Arabian Airlines Corp,189,1187,8490,0,221.96,3.18,0
"KaiserAir, Inc.",6032,12786,71488,800.5,2899.594,0,0
Scott Air LLC dba Island Air Express,12251,19674,4378,1168.95,3799.354,42.4785,185.5045
Smokey Bay Air Inc.,8783,27945,4721,1175.7,3632.85,24.009,62.8275
Frontier Flying Service,0,0,53082,499.5166667,1758.292,403.7205,299.372
Island Air Service,13067,32093,43530,2438.733333,4981.5635,291.183,116.073
"Pacific Airways, Inc.",14922,37092,18959,2661.766667,3830.8465,73.782,62.3695
Tanana Air Service,1524,7944,35628,510.0166667,1090.4,13.4525,66.6195
Warbelow,30347,80372,91238,7691.116667,10288.6235,238.5555,264.9005
Yute Air Aka Flight Alaska,57800,185853,145060,13094.46667,19297.2,392.4685,1764.8755
Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,1917,8377,391033,5613.283333,60110.854,13293.5955,14562.9295
Arctic Transportation,1243,4637,300898,5789.55,18126.967,3452.7275,3834.4685
Bering Air Inc.,76478,195478,425323,11039.36667,31972.325,974.1295,2984.325
Wright Air Service,46268,99102,379724,11810.13333,12864.0595,1161.1495,993.3295
Endeavor Air Inc.,8727176,11031039,3535915,220221.9667,1468747.321,27.909,0.075
American Airlines Inc.,50426359,59525815,7073923,953934.7,8202930.848,70766.6245,5282.843
Trans States Airlines,1807844,2204200,449565,47073.26667,245062.956,0,0
Compass Airlines,2794477,3417902,1876183,77904.11667,449373.034,2.349,0
Grant Aviation,97213,264230,331506,13517.23333,36689.379,657.439,3623.2205
Alaska Seaplane Service,25979,70988,61469,5732.133333,10791.789,310.026,393.3875
Venture Travel LLC d/b/a Taquan Air Service,21170,43695,33294,4360.533333,6719.4,159.4615,336.0945
Alaska Central Express,5849,10804,360056,10485.68333,23932.358,4348.164,5853.1815
Peninsula Airways Inc.,192211,373620,272464,19610.1,49362.7305,1418.056,2762.3015
Northern Air Cargo Inc.,0,0,430635,4753.866667,61851.3475,16772.8625,11828.386
40-Mile Air,813,3158,19494,911.7166667,426.1355,54.113,9.7385
Spernak Airways Inc.,8358,19959,12985,1801.916667,2309.84,491.929,17.031
Air Excursions LLC,4314,12413,17151,1003.45,2055.515,75.8685,50.778
"PM Air, LLC",51337,88990,25591,5656.516667,10507.16,274.059,99.585
Lufthansa German Airlines,8363,9625,61799,0,20949.254,11909.0215,0
China Cargo Airline,0,0,53136,0,73177.5,63780.366,0
Nippon Cargo Airlines,0,0,172604,0,164605.87,110411.0055,0
Kalitta Charters II,0,0,462392,1294.95,17828.1385,6306.8835,0
Gulf And Caribbean Cargo,0,0,444797,2151.816667,23358,5113.4215,0
British Airways Plc,5690,6446,7246,0,1060.736,170.4705,0
"Global Jet Luxembourg, Sa",29,67,8853,0,14.2535,0,0
China Airlines Ltd.,0,0,358716,0,297917.928,190172.814,0
Lan Peru Airlines,584,706,1338,0,137.3715,0,0
Singapore Airlines Ltd.,0,0,79473,0,34863.84,15777.0385,0
